epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,83.4673,1.33609,0.9626,1.35438,0.66232,0.57778,0.638,0.33404,1.81024,1.52036,1.78832,0.0011882,0.0011882,0.0011882
43,85.4179,1.2924,0.91845,1.31176,0.64771,0.58519,0.66146,0.33568,1.8175,1.42287,1.72244,0.0011684,0.0011684,0.0011684
44,87.418,1.27263,0.86221,1.29457,0.68887,0.55765,0.64318,0.35591,1.77179,1.4705,1.78269,0.0011486,0.0011486,0.0011486
45,89.3399,1.25998,0.8445,1.28115,0.61393,0.58519,0.60722,0.30651,1.82308,1.54511,1.78844,0.0011288,0.0011288,0.0011288
46,91.2268,1.24739,0.87011,1.28604,0.68507,0.51111,0.61182,0.32078,1.83388,1.6308,1.74022,0.001109,0.001109,0.001109
47,93.1578,1.27717,0.89217,1.27182,0.52435,0.62963,0.58656,0.32295,1.71419,1.45523,1.69341,0.0010892,0.0010892,0.0010892
48,95.0639,1.27214,0.89027,1.2799,0.67825,0.63704,0.6532,0.34344,1.75997,1.42607,1.68557,0.0010694,0.0010694,0.0010694
49,96.9885,1.25593,0.82133,1.28744,0.69514,0.51852,0.5985,0.3328,1.76235,1.56146,1.70287,0.0010496,0.0010496,0.0010496
50,98.9289,1.27127,0.85037,1.29282,0.6785,0.55556,0.60903,0.34521,1.76664,1.47157,1.71978,0.0010298,0.0010298,0.0010298
51,100.832,1.24149,0.84962,1.29682,0.65686,0.59557,0.61408,0.34318,1.80312,1.52837,1.80992,0.00101,0.00101,0.00101
52,102.75,1.21871,0.82456,1.26022,0.57899,0.56296,0.56059,0.3084,1.78865,1.61039,1.81042,0.0009902,0.0009902,0.0009902
53,104.723,1.17109,0.80643,1.2406,0.60764,0.6195,0.60756,0.33596,1.79851,1.44508,1.7879,0.0009704,0.0009704,0.0009704
54,106.588,1.16322,0.78806,1.23431,0.59065,0.63062,0.60771,0.31852,1.8372,1.40361,1.82272,0.0009506,0.0009506,0.0009506
55,108.454,1.18203,0.79662,1.24766,0.67916,0.55556,0.62958,0.31424,1.82342,1.4925,1.78093,0.0009308,0.0009308,0.0009308
56,110.341,1.1436,0.7599,1.2352,0.72926,0.54815,0.61746,0.35726,1.71999,1.51941,1.75534,0.000911,0.000911,0.000911
57,112.211,1.12767,0.75344,1.20618,0.62811,0.58519,0.60352,0.3499,1.77216,1.55259,1.81892,0.0008912,0.0008912,0.0008912
58,114.122,1.17159,0.75814,1.2462,0.70132,0.57037,0.63219,0.35027,1.81691,1.49055,1.82416,0.0008714,0.0008714,0.0008714
59,116.043,1.13037,0.75122,1.21963,0.70571,0.56296,0.62739,0.33866,1.77718,1.58367,1.76692,0.0008516,0.0008516,0.0008516
60,118.05,1.15419,0.77214,1.2474,0.62696,0.62963,0.63447,0.35523,1.73766,1.49858,1.69395,0.0008318,0.0008318,0.0008318
61,119.965,1.15675,0.76325,1.23578,0.70162,0.59222,0.66675,0.37994,1.69909,1.45184,1.66479,0.000812,0.000812,0.000812
62,121.866,1.14753,0.76098,1.2318,0.71309,0.57072,0.65168,0.36662,1.73026,1.48159,1.7296,0.0007922,0.0007922,0.0007922
63,123.793,1.11287,0.73216,1.22125,0.66189,0.63704,0.64687,0.34617,1.72457,1.46239,1.7112,0.0007724,0.0007724,0.0007724
64,125.692,1.08285,0.71227,1.19309,0.65474,0.58519,0.63966,0.34557,1.80423,1.55902,1.78459,0.0007526,0.0007526,0.0007526
65,127.609,1.12115,0.73047,1.20513,0.72347,0.54074,0.6669,0.35352,1.84335,1.4519,1.85017,0.0007328,0.0007328,0.0007328
66,129.494,1.07887,0.71423,1.19801,0.69,0.57037,0.66805,0.37193,1.75612,1.41016,1.73296,0.000713,0.000713,0.000713
67,131.421,1.08836,0.69051,1.19494,0.71566,0.63704,0.68356,0.38496,1.76657,1.38806,1.75192,0.0006932,0.0006932,0.0006932
68,133.429,1.04337,0.68491,1.17221,0.74541,0.60741,0.67864,0.36895,1.78312,1.51375,1.75029,0.0006734,0.0006734,0.0006734
69,135.341,1.05879,0.70109,1.17616,0.74618,0.60976,0.67363,0.36606,1.70951,1.48578,1.70153,0.0006536,0.0006536,0.0006536
70,137.239,1.0408,0.67759,1.17481,0.79498,0.56296,0.66765,0.35685,1.8075,1.52744,1.801,0.0006338,0.0006338,0.0006338
